ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2025-07-26T20:21:20.790-0400,Random_Small_File,file,1,1,1,,,33554432,4096,0,1,1,1,,0,WRITE,50,50,,,163294,163294,637,637,5,5,,,32,32,,,,4,5,197,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202120763642_RSF.BIN" 
2025-07-26T20:21:20.841-0400,Random_Small_File,file,1,1,1,,,33554432,4096,0,1,1,1,,0,READ,27,27,,,297706,297706,1162,1162,4,4,,,32,32,,,,1,2,139,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202120763642_RSF.BIN" 
2025-07-26T20:21:29.096-0400,Random_Small_File,file,1,1,4,,,33554432,4096,0,1,1,1,,0,WRITE,83,85,,,96105,96234,375,375,13,13,,,31,32,,,,4,40,1260,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202129070174_RSF.BIN" 
2025-07-26T20:21:29.182-0400,Random_Small_File,file,1,1,4,,,33554432,4096,0,1,1,1,,0,READ,28,46,,,166787,177020,651,691,9,10,,,18,32,,,,1,17,1976,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202129070174_RSF.BIN" 
2025-07-26T20:21:37.820-0400,Random_Small_File,file,1,1,8,,,33554432,4096,0,1,1,1,,0,WRITE,78,79,,,103283,103208,403,403,6,6,,,31,32,,,,5,76,269,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202137793644_RSF.BIN" 
2025-07-26T20:21:37.900-0400,Random_Small_File,file,1,1,8,,,33554432,4096,0,1,1,1,,0,READ,26,42,,,186909,190520,730,744,6,6,,,19,32,,,,1,35,4076,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202137793644_RSF.BIN" 
2025-07-26T20:21:54.770-0400,Random_Small_File,file,1,1,16,,,33554432,4096,0,1,1,1,,0,WRITE,78,79,,,103006,102888,402,401,6,6,,,31,32,,,,6,154,367,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202154742829_RSF.BIN" 
2025-07-26T20:21:54.851-0400,Random_Small_File,file,1,1,16,,,33554432,4096,0,1,1,1,,0,READ,14,41,,,196785,197840,768,772,6,6,,,11,32,,,,1,60,8866,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202154742829_RSF.BIN" 
2025-07-26T20:22:00.500-0400,Random_Small_File,file,1,1,1,,,33554432,32768,0,1,1,1,,0,WRITE,21,21,,,47579,47579,1486,1486,4,4,,,32,32,,,,17,20,82,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202200473834_RSF.BIN" 
2025-07-26T20:22:00.523-0400,Random_Small_File,file,1,1,1,,,33554432,32768,0,1,1,1,,0,READ,6,6,,,160879,160879,5027,5027,11,11,,,32,32,,,,1,5,24,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202200473834_RSF.BIN" 
2025-07-26T20:22:06.024-0400,Random_Small_File,file,1,1,4,,,33554432,32768,0,1,1,1,,0,WRITE,17,17,,,58920,58901,1841,1840,18,19,,,31,32,,,,22,66,187,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202205998341_RSF.BIN" 
2025-07-26T20:22:06.043-0400,Random_Small_File,file,1,1,4,,,33554432,32768,0,1,1,1,,0,READ,3,7,,,123759,135701,3867,4240,0,0,,,11,32,,,,1,19,2646,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202205998341_RSF.BIN" 
2025-07-26T20:22:20.181-0400,Random_Small_File,file,1,1,8,,,33554432,32768,0,1,1,1,,0,WRITE,17,17,,,57170,57136,1786,1785,14,9,,,30,32,,,,19,137,362,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202220155507_RSF.BIN" 
2025-07-26T20:22:20.200-0400,Random_Small_File,file,1,1,8,,,33554432,32768,0,1,1,1,,0,READ,1,7,,,126642,132385,3957,4137,0,0,,,6,32,,,,1,38,2837,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202220155507_RSF.BIN" 
2025-07-26T20:22:25.754-0400,Random_Small_File,file,1,1,16,,,33554432,32768,0,1,1,1,,0,WRITE,17,18,,,56384,55627,1762,1738,6,6,,,30,32,,,,22,277,563,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202225726404_RSF.BIN" 
2025-07-26T20:22:25.773-0400,Random_Small_File,file,1,1,16,,,33554432,32768,0,1,1,1,,0,READ,0,7,,,117726,128578,3678,4018,0,6,,,2,32,,,,3,71,3343,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202225726404_RSF.BIN" 
2025-07-26T20:22:31.281-0400,Random_Small_File,file,1,1,1,,,33554432,65536,0,1,1,1,,0,WRITE,19,19,,,26252,26252,1640,1640,29,29,,,32,32,,,,33,37,103,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=64K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202231255699_RSF.BIN" 
2025-07-26T20:22:31.302-0400,Random_Small_File,file,1,1,1,,,33554432,65536,0,1,1,1,,0,READ,4,4,,,107135,107135,6695,6695,0,0,,,32,32,,,,2,8,37,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=64K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202231255699_RSF.BIN" 
2025-07-26T20:22:45.196-0400,Random_Small_File,file,1,1,4,,,33554432,65536,0,1,1,1,,0,WRITE,13,13,,,37963,37705,2372,2356,12,12,,,31,32,,,,37,103,359,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=64K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2021\20250726_2021_RSF.txt" "--log" "0" "--cpu" "--lat" "D:\\data_testing\RAN_20250726202245170673_RSF.BIN" 
